,pokemon,base_experience,height,name,order,weight,abilities,moves,types,color
0,abra,62,9,abra,103,195,"['synchronize', 'inner-focus', 'magic-guard']","['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'barrier', 'light-screen', 'reflect', 'bide', 'metronome', 'swift', 'skull-bash', 'dream-eater', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'zap-cannon', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'torment', 'facade', 'focus-punch', 'taunt', 'trick', 'role-play', 'magic-coat', 'recycle', 'knock-off', 'skill-swap', 'snatch', 'secret-power', 'signal-beam', 'calm-mind', 'shock-wave', 'gravity', 'natural-gift', 'embargo', 'fling', 'psycho-shift', 'power-trick', 'power-swap', 'guard-swap', 'drain-punch', 'energy-ball', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'guard-split', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'foul-play', 'round', 'ally-switch', 'confide', 'dazzling-gleam', 'psychic-terrain', 'speed-swap']",['psychic'],brown
1,absol,163,12,absol,478,470,"['pressure', 'super-luck', 'justified']","['scratch', 'razor-wind', 'swords-dance', 'cut', 'headbutt', 'body-slam', 'double-edge', 'leer', 'bite', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'counter', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'quick-attack', 'mimic', 'double-team', 'focus-energy', 'fire-blast', 'swift', 'dream-eater', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'spite', 'protect', 'feint-attack', 'mud-slap', 'perish-song', 'icy-wind', 'detect', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'mean-look', 'attract', 'sleep-talk', 'return', 'frustration', 'megahorn', 'baton-pass', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'rock-smash', 'hail', 'torment', 'will-o-wisp', 'facade', 'taunt', 'role-play', 'superpower', 'magic-coat', 'knock-off', 'snatch', 'secret-power', 'rock-tomb', 'aerial-ace', 'bounce', 'calm-mind', 'shock-wave', 'water-pulse', 'natural-gift', 'feint', 'close-combat', 'payback', 'assurance', 'me-first', 'punishment', 'sucker-punch', 'dark-pulse', 'night-slash', 'air-slash', 'x-scissor', 'giga-impact', 'shadow-claw', 'psycho-cut', 'zen-headbutt', 'stone-edge', 'captivate', 'charge-beam', 'hone-claws', 'foul-play', 'round', 'echoed-voice', 'hex', 'incinerate', 'retaliate', 'snarl', 'play-rough', 'confide', 'laser-focus', 'throat-chop', 'brutal-swing']",['dark'],white
2,aerodactyl,180,18,aerodactyl,232,590,"['rock-head', 'pressure', 'unnerve']","['razor-wind', 'wing-attack', 'whirlwind', 'fly', 'headbutt', 'take-down', 'double-edge', 'bite', 'roar', 'supersonic', 'flamethrower', 'hyper-beam', 'strength', 'dragon-rage', 'rock-throw', 'earthquake', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'sky-attack', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'foresight', 'detect', 'sandstorm', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'pursuit', 'iron-tail', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'heat-wave', 'torment', 'facade', 'taunt', 'secret-power', 'air-cutter', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'rock-blast', 'roost', 'natural-gift', 'tailwind', 'payback', 'assurance', 'rock-polish', 'aqua-tail', 'dragon-pulse', 'earth-power', 'giga-impact', 'thunder-fang', 'ice-fang', 'fire-fang', 'defog', 'iron-head', 'stone-edge', 'captivate', 'stealth-rock', 'ominous-wind', 'hone-claws', 'wide-guard', 'smack-down', 'round', 'sky-drop', 'incinerate', 'bulldoze', 'hurricane', 'confide', 'laser-focus', 'brutal-swing', 'psychic-fangs', 'meteor-beam', 'dual-wingbeat']","['rock', 'flying']",purple
3,aipom,72,8,aipom,285,115,"['run-away', 'pickup', 'skill-link']","['double-slap', 'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'scratch', 'cut', 'slam', 'mega-kick', 'sand-attack', 'headbutt', 'body-slam', 'double-edge', 'tail-whip', 'low-kick', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'agility', 'mimic', 'screech', 'double-team', 'defense-curl', 'metronome', 'swift', 'dream-eater', 'fury-swipes', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'spite', 'protect', 'mud-slap', 'zap-cannon', 'detect', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'beat-up', 'fake-out', 'uproar', 'facade', 'focus-punch', 'taunt', 'role-play', 'revenge', 'brick-break', 'knock-off', 'snatch', 'secret-power', 'astonish', 'tickle', 'aerial-ace', 'bounce', 'covet', 'shock-wave', 'water-pulse', 'natural-gift', 'u-turn', 'payback', 'fling', 'last-resort', 'seed-bomb', 'switcheroo', 'nasty-plot', 'shadow-claw', 'gunk-shot', 'captivate', 'grass-knot', 'double-hit', 'hone-claws', 'low-sweep', 'foul-play', 'round', 'quick-guard', 'acrobatics', 'retaliate', 'work-up', 'tail-slap', 'confide', 'power-up-punch']",['normal'],purple
4,alcremie,173,3,alcremie,1053,5,"['sweet-veil', 'aroma-veil']","['tackle', 'hyper-beam', 'solar-beam', 'psychic', 'recover', 'light-screen', 'metronome', 'acid-armor', 'rest', 'tri-attack', 'substitute', 'snore', 'protect', 'sweet-kiss', 'giga-drain', 'endure', 'charm', 'attract', 'sleep-talk', 'safeguard', 'encore', 'sweet-scent', 'facade', 'helping-hand', 'imprison', 'aromatherapy', 'fake-tears', 'magical-leaf', 'calm-mind', 'fling', 'drain-punch', 'energy-ball', 'giga-impact', 'wonder-room', 'psyshock', 'magic-room', 'entrainment', 'round', 'stored-power', 'draining-kiss', 'misty-terrain', 'play-rough', 'mystical-fire', 'aromatic-mist', 'dazzling-gleam', 'decorate', 'misty-explosion']",['fairy'],white
5,alomomola,165,12,alomomola,716,316,"['healer', 'hydration', 'regenerator']","['pound', 'double-slap', 'body-slam', 'take-down', 'mist', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'toxic', 'psychic', 'double-team', 'light-screen', 'waterfall', 'rest', 'substitute', 'snore', 'protect', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'pain-split', 'baton-pass', 'hidden-power', 'rain-dance', 'mirror-coat', 'psych-up', 'shadow-ball', 'whirlpool', 'hail', 'facade', 'helping-hand', 'wish', 'magic-coat', 'knock-off', 'skill-swap', 'refresh', 'secret-power', 'dive', 'tickle', 'bounce', 'water-sport', 'calm-mind', 'water-pulse', 'wake-up-slap', 'healing-wish', 'brine', 'aqua-ring', 'giga-impact', 'zen-headbutt', 'aqua-jet', 'wide-guard', 'soak', 'round', 'scald', 'heal-pulse', 'acrobatics', 'misty-terrain', 'play-rough', 'play-nice', 'confide', 'liquidation', 'tera-blast', 'snowscape', 'chilling-water']",['water'],pink
6,anorith,71,7,anorith,460,125,"['battle-armor', 'swift-swim']","['scratch', 'swords-dance', 'cut', 'sand-attack', 'headbutt', 'body-slam', 'double-edge', 'water-gun', 'string-shot', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'harden', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'rapid-spin', 'metal-claw', 'hidden-power', 'sunny-day', 'ancient-power', 'rock-smash', 'facade', 'brick-break', 'knock-off', 'secret-power', 'mud-sport', 'crush-claw', 'rock-tomb', 'aerial-ace', 'iron-defense', 'mud-shot', 'rock-blast', 'water-pulse', 'brine', 'natural-gift', 'rock-polish', 'x-scissor', 'earth-power', 'cross-poison', 'captivate', 'stealth-rock', 'bug-bite', 'aqua-jet', 'hone-claws', 'smack-down', 'round', 'struggle-bug', 'confide', 'meteor-beam']","['rock', 'bug']",gray
7,applin,52,2,applin,1021,5,"['ripen', 'gluttony', 'bulletproof']","['withdraw', 'defense-curl', 'rollout', 'attract', 'recycle', 'astonish', 'sucker-punch', 'draco-meteor', 'grassy-glide', 'tera-blast', 'pounce']","['grass', 'dragon']",green
8,arbok,157,35,arbok,33,650,"['intimidate', 'shed-skin', 'unnerve']","['bind', 'slam', 'headbutt', 'body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'acid', 'hyper-beam', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'haze', 'bide', 'skull-bash', 'glare', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'sludge-bomb', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'stockpile', 'spit-up', 'swallow', 'torment', 'facade', 'snatch', 'secret-power', 'rock-tomb', 'natural-gift', 'payback', 'gastro-acid', 'sucker-punch', 'poison-jab', 'dark-pulse', 'aqua-tail', 'seed-bomb', 'giga-impact', 'thunder-fang', 'ice-fang', 'fire-fang', 'mud-bomb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'coil', 'acid-spray', 'round', 'bulldoze', 'dragon-tail', 'belch', 'confide', 'infestation', 'throat-chop', 'brutal-swing', 'stomping-tantrum']",['poison'],purple
9,arceus,324,32,arceus,608,3200,['multitype'],"['swords-dance', 'cut', 'fly', 'headbutt', 'body-slam', 'take-down', 'roar', 'flamethrower', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'toxic', 'psychic', 'agility', 'double-team', 'recover', 'confuse-ray', 'light-screen', 'reflect', 'fire-blast', 'waterfall', 'swift', 'dream-eater', 'flash', 'rest', 'rock-slide', 'substitute', 'snore', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'perish-song', 'icy-wind', 'outrage', 'sandstorm', 'giga-drain', 'endure', 'swagger', 'fury-cutter', 'sleep-talk', 'return', 'frustration', 'safeguard', 'iron-tail', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'extreme-speed', 'ancient-power', 'shadow-ball', 'future-sight', 'rock-smash', 'whirlpool', 'heat-wave', 'hail', 'will-o-wisp', 'facade', 'taunt', 'trick', 'magic-coat', 'recycle', 'brick-break', 'imprison', 'refresh', 'secret-power', 'dive', 'hyper-voice', 'overheat', 'rock-tomb', 'silver-wind', 'cosmic-power', 'signal-beam', 'bullet-seed', 'aerial-ace', 'iron-defense', 'dragon-claw', 'bulk-up', 'magical-leaf', 'calm-mind', 'dragon-dance', 'shock-wave', 'water-pulse', 'gravity', 'healing-wish', 'brine', 'natural-gift', 'tailwind', 'payback', 'punishment', 'last-resort', 'flare-blitz', 'aura-sphere', 'poison-jab', 'dark-pulse', 'aqua-tail', 'air-slash', 'x-scissor', 'bug-buzz', 'dragon-pulse', 'power-gem', 'focus-blast', 'energy-ball', 'earth-power', 'giga-impact', 'avalanche', 'shadow-claw', 'zen-headbutt', 'flash-cannon', 'rock-climb', 'defog', 'trick-room', 'draco-meteor', 'gunk-shot', 'iron-head', 'stone-edge', 'stealth-rock', 'grass-knot', 'judgment', 'charge-beam', 'ominous-wind', 'hone-claws', 'psyshock', 'telekinesis', 'heavy-slam', 'acid-spray', 'foul-play', 'round', 'echoed-voice', 'stored-power', 'hex', 'incinerate', 'quash', 'retaliate', 'bulldoze', 'dragon-tail', 'work-up', 'wild-charge', 'hurricane', 'snarl', 'phantom-force', 'grassy-terrain', 'misty-terrain', 'confide', 'electric-terrain', 'dazzling-gleam', 'laser-focus', 'psychic-terrain', 'stomping-tantrum', 'liquidation', 'body-press', 'steel-beam', 'tera-blast', 'trailblaze', 'chilling-water']",['normal'],white
