,pokemon,base_experience,height,name,order,weight,abilities,moves,types
0,abomasnow,173,22,abomasnow,585,1355,"snow-warning', 'soundproof'","'mega-punch', 'ice-punch', 'swords-dance', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'leer', 'mist', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'strength', 'razor-leaf', 'solar-beam', 'earthquake', 'toxic', 'double-team', 'light-screen', 'flash', 'rest', 'rock-slide', 'substitute', 'snore', 'powder-snow', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'outrage', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'iron-tail', 'synthesis', 'hidden-power', 'rain-dance', 'shadow-ball', 'rock-smash', 'hail', 'facade', 'focus-punch', 'helping-hand', 'role-play', 'ingrain', 'brick-break', 'secret-power', 'weather-ball', 'rock-tomb', 'grass-whistle', 'sheer-cold', 'bullet-seed', 'icicle-spear', 'block', 'magical-leaf', 'water-pulse', 'natural-gift', 'fling', 'worry-seed', 'seed-bomb', 'focus-blast', 'energy-ball', 'earth-power', 'giga-impact', 'avalanche', 'ice-shard', 'rock-climb', 'leaf-storm', 'captivate', 'grass-knot', 'wood-hammer', 'round', 'bulldoze', 'frost-breath', 'confide', 'leafage', 'aurora-veil', 'stomping-tantrum', 'body-press', 'grassy-glide', 'tera-blast', 'ice-spinner', 'snowscape', 'trailblaze', 'chilling-water'","grass', 'ice'"
1,abomasnow-mega,208,27,abomasnow-mega,586,1850,'snow-warning',"'ice-punch', 'swords-dance', 'leer', 'mist', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'razor-leaf', 'solar-beam', 'earthquake', 'toxic', 'double-team', 'light-screen', 'flash', 'rest', 'rock-slide', 'substitute', 'snore', 'powder-snow', 'protect', 'icy-wind', 'outrage', 'giga-drain', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'iron-tail', 'synthesis', 'hidden-power', 'rain-dance', 'shadow-ball', 'rock-smash', 'hail', 'facade', 'focus-punch', 'role-play', 'ingrain', 'brick-break', 'secret-power', 'rock-tomb', 'grass-whistle', 'sheer-cold', 'block', 'water-pulse', 'fling', 'worry-seed', 'seed-bomb', 'focus-blast', 'energy-ball', 'giga-impact', 'ice-shard', 'grass-knot', 'wood-hammer', 'round', 'bulldoze', 'frost-breath', 'confide', 'stomping-tantrum'","'grass', 'ice'"
2,abra,62,9,abra,103,195,"'synchronize', 'inner-focus', 'magic-guard'","'mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'submission', 'counter', 'seismic-toss', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'barrier', 'light-screen', 'reflect', 'bide', 'metronome', 'swift', 'skull-bash', 'dream-eater', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'protect', 'zap-cannon', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'encore', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'torment', 'facade', 'focus-punch', 'taunt', 'trick', 'role-play', 'magic-coat', 'recycle', 'knock-off', 'skill-swap', 'snatch', 'secret-power', 'signal-beam', 'calm-mind', 'shock-wave', 'gravity', 'natural-gift', 'embargo', 'fling', 'psycho-shift', 'power-trick', 'power-swap', 'guard-swap', 'drain-punch', 'energy-ball', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'guard-split', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'foul-play', 'round', 'ally-switch', 'confide', 'dazzling-gleam', 'psychic-terrain', 'speed-swap'",'psychic'
3,absol,163,12,absol,478,470,"'pressure', 'super-luck', 'justified'","'scratch', 'razor-wind', 'swords-dance', 'cut', 'headbutt', 'body-slam', 'double-edge', 'leer', 'bite', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'counter', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'quick-attack', 'mimic', 'double-team', 'focus-energy', 'fire-blast', 'swift', 'dream-eater', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'nightmare', 'snore', 'curse', 'spite', 'protect', 'feint-attack', 'mud-slap', 'perish-song', 'icy-wind', 'detect', 'sandstorm', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'mean-look', 'attract', 'sleep-talk', 'return', 'frustration', 'megahorn', 'baton-pass', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'rock-smash', 'hail', 'torment', 'will-o-wisp', 'facade', 'taunt', 'role-play', 'superpower', 'magic-coat', 'knock-off', 'snatch', 'secret-power', 'rock-tomb', 'aerial-ace', 'bounce', 'calm-mind', 'shock-wave', 'water-pulse', 'natural-gift', 'feint', 'close-combat', 'payback', 'assurance', 'me-first', 'punishment', 'sucker-punch', 'dark-pulse', 'night-slash', 'air-slash', 'x-scissor', 'giga-impact', 'shadow-claw', 'psycho-cut', 'zen-headbutt', 'stone-edge', 'captivate', 'charge-beam', 'hone-claws', 'foul-play', 'round', 'echoed-voice', 'hex', 'incinerate', 'retaliate', 'snarl', 'play-rough', 'confide', 'laser-focus', 'throat-chop', 'brutal-swing'",'dark'
4,absol-mega,198,12,absol-mega,479,490,'magic-bounce',"'scratch', 'razor-wind', 'swords-dance', 'cut', 'double-edge', 'leer', 'bite', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'quick-attack', 'double-team', 'fire-blast', 'dream-eater', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'feint-attack', 'perish-song', 'icy-wind', 'detect', 'sandstorm', 'false-swipe', 'swagger', 'mean-look', 'attract', 'sleep-talk', 'return', 'frustration', 'megahorn', 'baton-pass', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'rock-smash', 'hail', 'torment', 'will-o-wisp', 'facade', 'taunt', 'role-play', 'superpower', 'magic-coat', 'knock-off', 'snatch', 'secret-power', 'rock-tomb', 'aerial-ace', 'bounce', 'calm-mind', 'shock-wave', 'water-pulse', 'feint', 'payback', 'assurance', 'me-first', 'punishment', 'sucker-punch', 'dark-pulse', 'night-slash', 'x-scissor', 'giga-impact', 'shadow-claw', 'psycho-cut', 'zen-headbutt', 'stone-edge', 'charge-beam', 'hone-claws', 'foul-play', 'round', 'echoed-voice', 'hex', 'incinerate', 'retaliate', 'snarl', 'play-rough', 'confide', 'laser-focus', 'throat-chop', 'brutal-swing'",'dark'
5,accelgor,173,8,accelgor,739,253,"'hydration', 'sticky-hold', 'unburden'","'body-slam', 'acid', 'hyper-beam', 'absorb', 'mega-drain', 'toxic', 'agility', 'quick-attack', 'double-team', 'recover', 'swift', 'leech-life', 'acid-armor', 'rest', 'substitute', 'snore', 'curse', 'reversal', 'protect', 'sludge-bomb', 'spikes', 'sandstorm', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'encore', 'hidden-power', 'rain-dance', 'facade', 'yawn', 'knock-off', 'secret-power', 'signal-beam', 'mud-shot', 'u-turn', 'gastro-acid', 'me-first', 'power-swap', 'guard-swap', 'toxic-spikes', 'bug-buzz', 'drain-punch', 'focus-blast', 'energy-ball', 'giga-impact', 'bug-bite', 'venoshock', 'acid-spray', 'round', 'final-gambit', 'struggle-bug', 'confide', 'water-shuriken', 'venom-drench', 'infestation', 'laser-focus', 'skitter-smack'",'bug'
6,aegislash-blade,250,17,aegislash-blade,816,530,'stance-change',"'swords-dance', 'cut', 'tackle', 'hyper-beam', 'toxic', 'screech', 'double-team', 'reflect', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'reversal', 'spite', 'protect', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'facade', 'brick-break', 'secret-power', 'metal-sound', 'aerial-ace', 'iron-defense', 'block', 'shock-wave', 'gyro-ball', 'close-combat', 'power-trick', 'magnet-rise', 'night-slash', 'air-slash', 'giga-impact', 'shadow-claw', 'shadow-sneak', 'psycho-cut', 'flash-cannon', 'iron-head', 'head-smash', 'autotomize', 'after-you', 'round', 'retaliate', 'sacred-sword', 'kings-shield', 'confide', 'solar-blade', 'laser-focus', 'brutal-swing', 'steel-beam'","'steel', 'ghost'"
7,aegislash-shield,250,17,aegislash-shield,815,530,'stance-change',"'swords-dance', 'cut', 'tackle', 'hyper-beam', 'toxic', 'screech', 'double-team', 'reflect', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'reversal', 'spite', 'protect', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'facade', 'brick-break', 'secret-power', 'metal-sound', 'aerial-ace', 'iron-defense', 'block', 'shock-wave', 'gyro-ball', 'close-combat', 'power-trick', 'magnet-rise', 'night-slash', 'air-slash', 'giga-impact', 'shadow-claw', 'shadow-sneak', 'psycho-cut', 'flash-cannon', 'iron-head', 'head-smash', 'autotomize', 'after-you', 'round', 'retaliate', 'sacred-sword', 'kings-shield', 'confide', 'solar-blade', 'laser-focus', 'brutal-swing', 'steel-beam'","'steel', 'ghost'"
8,aerodactyl,180,18,aerodactyl,232,590,"'rock-head', 'pressure', 'unnerve'","'razor-wind', 'wing-attack', 'whirlwind', 'fly', 'headbutt', 'take-down', 'double-edge', 'bite', 'roar', 'supersonic', 'flamethrower', 'hyper-beam', 'strength', 'dragon-rage', 'rock-throw', 'earthquake', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'sky-attack', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'foresight', 'detect', 'sandstorm', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'pursuit', 'iron-tail', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'heat-wave', 'torment', 'facade', 'taunt', 'secret-power', 'air-cutter', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'rock-blast', 'roost', 'natural-gift', 'tailwind', 'payback', 'assurance', 'rock-polish', 'aqua-tail', 'dragon-pulse', 'earth-power', 'giga-impact', 'thunder-fang', 'ice-fang', 'fire-fang', 'defog', 'iron-head', 'stone-edge', 'captivate', 'stealth-rock', 'ominous-wind', 'hone-claws', 'wide-guard', 'smack-down', 'round', 'sky-drop', 'incinerate', 'bulldoze', 'hurricane', 'confide', 'laser-focus', 'brutal-swing', 'psychic-fangs', 'meteor-beam', 'dual-wingbeat'","'rock', 'flying'"
9,aerodactyl-mega,215,21,aerodactyl-mega,233,790,'tough-claws',"'wing-attack', 'whirlwind', 'fly', 'headbutt', 'take-down', 'bite', 'roar', 'supersonic', 'flamethrower', 'hyper-beam', 'strength', 'rock-throw', 'earthquake', 'toxic', 'agility', 'double-team', 'reflect', 'fire-blast', 'sky-attack', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'foresight', 'sandstorm', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dragon-breath', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'heat-wave', 'torment', 'facade', 'taunt', 'secret-power', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'roost', 'tailwind', 'payback', 'assurance', 'rock-polish', 'aqua-tail', 'dragon-pulse', 'earth-power', 'giga-impact', 'thunder-fang', 'ice-fang', 'fire-fang', 'defog', 'iron-head', 'stone-edge', 'stealth-rock', 'hone-claws', 'wide-guard', 'smack-down', 'round', 'sky-drop', 'incinerate', 'bulldoze', 'confide', 'laser-focus', 'brutal-swing'","'rock', 'flying'"
